ID;Nazwa;Rzeka;Szerokośćgeograficzna;Długośćgeograficzna;Wysokośćnpm;lat_dec;lon_dec
252230040;NAREW;Narew (26);52 54 53;23 31 09;139.0;52.914722222222224;23.519166666666667
252230060;NAREWKA;Narewka (2612);52 52 18;23 43 41;143.0;52.87166666666667;23.728055555555553
252230080;NOWE MASIEWO;Narew (26);52 50 02;23 53 50;150.0;52.83388888888889;23.897222222222222
252230090;CHRABOŁY;Orlanka (2614);52 51 44;23 11 44;127.0;52.86222222222222;23.195555555555554
252230110;HAJNÓWKA;Leśna (26652);52 43 57;23 33 37;163.0;52.7325;23.560277777777777
252230120;BIAŁOWIEŻA;Narewka (2612);52 42 26;23 50 52;163.0;52.70722222222223;23.847777777777775
252230150;Kleszczele;Nurzec (267146);52 34 20;23 19 10;160.0;52.57222222222222;23.319444444444443
252230190;CICIBÓR;Krzna (2664);52 04 37;23 06 34;144.0;52.07694444444445;23.109444444444446
252230230;NAREW;Narew (26);52 55 00;23 31 22;134.0;52.916666666666664;23.522777777777776
252230240;NAREWKA;Narewka (2612);52 51 49;23 43 30;143.0;52.86361111111111;23.724999999999998
252230250;ZAMOSZE;Narewka (2612);52 48 55;23 54 46;157.0;52.81527777777777;23.912777777777777
252230280;Jagodniki;Orlanka (2614);52 41 50;23 29 21;156.0;52.697222222222216;23.489166666666666
252230290;Bolesty;Nurzec (267146);52 44 12;23 05 27;156.0;52.736666666666665;23.090833333333332
253140010;Wolin;Cieśnina Dziwna (35);53 50 15;14 36 57;2.0;53.837500000000006;14.615833333333333
253140040;Trzebież;Zalew Szczeciński (319);53 39 47;14 30 50;1.0;53.66305555555555;14.51388888888889
253140060;Goleniów;Ina (198);53 35 38;14 53 18;34.0;53.59388888888889;14.888333333333334
253140110;Gryfino;Odra (Regalica) (19751);53 15 25;14 29 04;3.0;53.25694444444444;14.484444444444444
253150020;Witno;Cieśnina Dziwna (35);53 56 40;15 03 47;20.0;53.94444444444444;15.063055555555556
253150070;Łabędzie;Rega (42);53 39 02;15 48 33;100.0;53.650555555555556;15.809166666666668
253150130;Lisowo;Krąpiel (1988);53 25 51;15 18 05;95.0;53.43083333333333;15.301388888888889
253150190;PRZELEWICE;Płonia (1976);53 06 15;15 04 56;65.0;53.10416666666667;15.082222222222223
253150250;Drawno;Drawa (1888);53 12 47;15 46 12;76.0;53.213055555555556;15.770000000000001
253150290;Łopianów;Rega (42);53 52 32;15 15 41;32.0;53.87555555555556;15.261388888888888
253150310;Niedźwiedziska;Cieśnina Dziwna (35);53 56 58;15 04 41;20.0;53.94944444444444;15.078055555555554
253150320;Lubiana;Mała Ina (1986);53 06 16;15 19 24;68.0;53.10444444444445;15.323333333333332
253150330;Słonowice;Rega (42);53 43 01;15 43 05;105.0;53.716944444444444;15.718055555555555
253150340;Międzyrzecze;Rega (42);53 52 19;15 34 06;59.0;53.871944444444445;15.568333333333333
253150350;Radowo Małe;Rega (42);53 40 06;15 27 08;93.0;53.66833333333333;15.452222222222222
253150360;Kinowo;Rega (42);53 58 30;15 27 05;32.0;53.975;15.451388888888888
253160010;Sępolno Wielkie;Biała (188624);53 56 51;16 46 25;165.0;53.9475;16.77361111111111
253160020;Osówko;Parsęta (44);53 54 20;16 04 05;55.0;53.90555555555555;16.068055555555556
253160040;Grzmiąca;Parsęta (44);53 50 09;16 26 21;100.0;53.83583333333333;16.439166666666665
253160090;WIERZCHOWO;Drawa (1888);53 27 36;16 06 16;137.0;53.46;16.104444444444447
253160110;Jastrowie;Gwda (1886);53 25 32;16 48 50;111.0;53.425555555555555;16.81388888888889
253160260;Wicewo;Parsęta (44);53 53 15;16 07 25;47.0;53.8875;16.12361111111111
253170030;RÓŻKI-DĘBIE;Brda (292);53 53 28;17 08 53;155.0;53.89111111111111;17.148055555555555
253170060;Zapędowo;Brda (292);53 42 15;17 50 25;125.0;53.70416666666667;17.840277777777775
