LP.;ID;Nazwa;Rzeka;Szerokość geograficzna;Długość geograficzna;Wysokość n.p.m.;Powiat
556;152190100;Bielawy;Mroga (27234);52 04 25;19 39 00;;łowicki
557;152190110;Sierpc;Sierpienica (27564);52 51 25;19 40 15;;sierpecki
558;152190120;KĘPA POLSKA;Wisła (2);52 25 53;19 57 48;;płocki
559;152190160;Babiec;Skrwa (2756);52 54 08;19 41 22;;sierpecki
560;152199992;Łowicz;Bzura (272);52 06 36;19 57 37;;łowicki
561;152199997;Kutno;Ochnia (27218);52 13 57;19 21 01;;kutnowski
562;152200010;Kęszyce;Rawka (2726);52 08 09;20 07 53;;skierniewicki
563;152200020;Trzciniec;Wkra (268);52 55 50;20 10 19;;mławski
564;152200030;WYSZOGRÓD;Wisła (2);52 23 05;20 11 35;;płocki
565;152200050;Żuków;Bzura (272);52 15 42;20 16 09;;sochaczewski
566;152200070;Władysławów;Łasica (27296);52 19 20;20 21 15;;sochaczewski
567;152200080;Strachowo;Płonka (26876);52 37 50;20 26 19;;płoński
568;152200090;Krubice;Utrata (2728);52 14 23;20 27 06;;sochaczewski
569;152200100;Luberadz;Łydynia (2686);52 45 41;20 28 38;;ciechanowski
570;152200110;MODLIN;Wisła (2);52 25 50;20 39 35;;nowodworski
571;152200120;Borkowo;Wkra (268);52 33 42;20 39 56;;nowodworski
572;152200130;Orzechowo;Narew (26);52 29 17;20 51 52;;legionowski
573;152200150;WYCHÓDŹC;Wisła (2);52 23 38;20 25 22;;płoński
574;152209994;Nowe Miasto;Sona (2688);52 39 21;20 37 58;;płoński
575;152209996;Sochocin;Wkra (268);52 41 07;20 28 09;;płoński
576;152209997;Duranów;Pisia Gągolina (27276);52 11 59;20 14 21;;sochaczewski
577;152210020;Piaseczno 2;Jeziorka (258);52 03 48;21 02 22;;piaseczyński
578;152210030;MAKÓW MAZOWIECKI;Orzyc (2658);52 51 39;21 06 25;;makowski
579;152210040;Warszawa-Nadwilanówka;Wisła (2);52 11 11;21 06 29;;Warszawa
580;152210060;ZAMBSKI KOŚCIELNE;Narew (26);52 45 22;21 12 22;;pułtuski
581;152210070;WÓLKA MLĄDZKA;Świder (256);52 08 21;21 19 49;;otwocki
582;152210090;Wyszków;Bug (26714);52 35 18;21 27 10;;wyszkowski
583;152210100;CZARNOWO;Orz (2656);52 53 00;21 32 14;;ostrołęcki
584;152210110;Zawiszyn;Osownica (2671488);52 29 12;21 39 22;;wołomiński
585;152210120;Łochów;Liwiec (267148);52 30 36;21 40 42;;wołomiński
586;152210130;Nowe Kaczkowo;Brok (2671476);52 43 42;21 57 20;;ostrowski
587;152210140;JAGODNE;Kostrzyń (2671484);52 12 06;21 58 41;;siedlecki
588;152210150;Popowo;Bug (26714);52 31 41;21 10 32;;wyszkowski
589;152210170;WARSZAWA-BULWARY;Wisła (2);52 14 50;21 01 15;;Warszawa
590;152210180;Pułtusk;Narew (26);52 42 10;21 05 36;;pułtuski
591;152219993;Różan;Narew (26);52 53 07;21 24 22;;makowski
592;152219996;Zielonka;Długa (267184);52 18 46;21 08 25;;wołomiński
593;152220010;Zaliwie-Piegawki;Liwiec (267148);52 15 11;22 05 41;;siedlecki
594;152220050;Frankopol;Bug (26714);52 24 54;22 33 39;;sokołowski
595;152220060;HRUSZEW;Toczna (2671458);52 19 14;22 43 13;;łosicki
596;152220070;Brańsk;Nurzec (267146);52 44 38;22 49 07;;bielski
597;152220080;SURAŻ;Narew (26);52 56 56;22 57 18;;białostocki
598;152220100;Kozarze;Nurzec (267146);52 40 11;22 28 35;;wysokomazowiecki
599;152229999;MAŁKINIA;Bug (26714);52 40 27;22 00 58;;ostrowski
600;152230010;Boćki;Nurzec (267146);52 39 06;23 02 17;;bielski
601;152230020;Porosiuki;Krzna (267144);52 01 12;23 03 31;;bialski
602;152230030;CHRABOŁY;Orlanka (2614);52 51 44;23 11 45;;bielski
603;152230040;PLOSKI;Narew (26);52 54 08;23 13 56;;białostocki
604;152230050;Perkowice;Zielawa (2671448);51 59 47;23 17 06;;bialski
605;152230060;TRZEŚCIANKA;Rudnia (26136);52 56 20;23 25 32;;hajnowski
606;152230070;Malowa Góra;Krzna (267144);52 06 13;23 28 03;;bialski
607;152230080;Krzyczew;Bug (26714);52 08 49;23 29 57;;bialski
608;152230090;NAREW;Narew (26);52 54 57;23 31 22;;hajnowski
