LP.;ID;Nazwa;Rzeka;Szerokość geograficzna;Długość geograficzna;Wysokość n.p.m.;Powiat
424;251160220;Oborniki Śląskie;Odra (1);51 17 22;16 55 50;160.0;trzebnicki
425;251160290;Jawor;Nysa Szalona (1384);51 03 48;16 11 01;188.0;jaworski
426;251160320;RADZYŃ;Obrzyca (156);51 52 21;16 02 16;60.0;wschowski
427;251160360;GŁOGÓW;Odra (1);51 40 21;16 03 36;75.0;głogowski
428;251160420;Pysząca;Odra (1);51 15 23;16 40 47;110.0;wołowski
429;251170030;Witaszyce;Lutynia (1852);51 56 44;17 33 12;130.0;jarociński
430;251170090;Smolice;Rdęca (1464);51 41 39;17 10 47;105.0;krotoszyński
431;251170140;Milicz;Barycz (14);51 30 40;17 16 38;118.0;milicki
432;251170210;Trzebnica;Kanał Trzebnicki (14428);51 19 22;17 04 05;155.0;trzebnicki
433;251170270;Bierutów;Widawa (136);51 07 08;17 32 41;141.0;oleśnicki
434;251170290;Namysłów;Widawa (136);51 03 57;17 42 57;152.0;namysłowski
435;251170360;Ostrów Wielkopolski;Ołobok (1844);51 39 39;17 52 24;123.0;ostrowski
436;251170380;WOLA KSIĄŻĘCA;Lutynia (1852);51 57 41;17 35 21;118.0;jarociński
437;251170430;OSTRZESZÓW II;Dąbrówka (1412);51 26 04;17 54 56;186.0;ostrzeszowski
438;251170440;Drołtowice;Widawa (136);51 20 06;17 35 46;200.0;oleśnicki
439;251180020;Zbiersk;Czarna Struga (183566);51 56 36;18 09 01;125.0;kaliski
440;251180040;Poddębice;Ner (1832);51 53 08;18 57 35;130.0;poddębicki
441;251180050;Lisków;Swędrnia (18482);51 50 07;18 24 36;147.0;kaliski
442;251180090;Sieradz;Warta (18);51 35 35;18 41 14;140.0;sieradzki
443;251180140;Złoczew;Oleśnica (1818);51 25 16;18 35 57;175.0;sieradzki
444;251180150;Mirków;Prosna (184);51 18 37;18 08 47;156.0;wieruszowski
