ID;Nazwa;Rzeka;Szerokośćgeograficzna;Długośćgeograficzna;Wysokośćnpm;Powiat;lat_dec;lon_dec
151180190;Grabów nad Prosną;Prosna (184);51 30 36;18 07 27;;ostrzeszowski;51.51;18.124166666666667
151180200;Kuśnie;Żeglina (18312);51 32 06;18 40 51;;sieradzki;51.535;18.680833333333336
151180210;Smardzew;Myja (18314);51 35 49;18 39 20;;sieradzki;51.596944444444446;18.655555555555555
151180220;Grabina;Pichna (183178);51 45 40;18 45 46;;poddębicki;51.76111111111111;18.762777777777778
151190010;Kule;Liswarta (1816);51 02 34;19 02 53;;kłobucki;51.04277777777778;19.048055555555557
151190020;Szczerców;Widawka (182);51 19 42;19 06 49;;bełchatowski;51.32833333333333;19.113611111111112
151190030;Łask;Grabia (1828);51 35 49;19 07 19;;łaski;51.596944444444446;19.121944444444445
151190040;Lutomiersk;Ner (1832);51 45 23;19 13 17;;pabianicki;51.756388888888885;19.22138888888889
151190060;Bobry;Warta (18);51 01 31;19 24 19;;radomszczański;51.025277777777774;19.405277777777776
151190070;Gieczno;Moszczenica (2722);51 59 49;19 26 35;;zgierski;51.996944444444445;19.443055555555556
151190080;Kłudzice;Luciąża (254534);51 20 57;19 46 55;;piotrkowski;51.34916666666667;19.781944444444445
151190090;Przedbórz;Pilica (254);51 05 22;19 52 30;;radomszczański;51.089444444444446;19.875
151190100;Sulejów-Kopalnia;Pilica (254);51 20 37;19 53 10;;piotrkowski;51.343611111111116;19.88611111111111
151190110;Zawada;Wolbórka (2546);51 31 48;19 56 34;;tomaszowski;51.53;19.942777777777778
151190120;Dąbrowa;Czarna (2544);51 18 50;19 58 18;;piotrkowski;51.31388888888888;19.971666666666664
151190130;Kazimierz;Ner (1832);51 45 58;19 12 09;;pabianicki;51.76611111111111;19.2025
151200020;Spała;Pilica (254);51 32 14;20 08 02;;tomaszowski;51.53722222222222;20.133888888888887
151200040;Opoczno;Drzewiczka (2548);51 22 53;20 18 03;;opoczyński;51.38138888888889;20.300833333333333
151200080;Odrzywół;Drzewiczka (2548);51 31 10;20 33 46;;przysuski;51.519444444444446;20.56277777777778
151200090;Nowe Miasto n.Pilicą;Pilica (254);51 36 33;20 34 24;;grójecki;51.60916666666667;20.573333333333334
151200100;Bzin;Kamienna (234);51 06 13;20 51 20;;skarżyski;51.103611111111114;20.855555555555558
151200110;Słowików;Radomka (252);51 27 26;20 53 17;;radomski;51.45722222222223;20.888055555555557
151200120;Białobrzegi;Pilica (254);51 39 27;20 57 04;;białobrzeski;51.6575;20.95111111111111
151210010;Wąchock;Kamienna (234);51 04 33;21 01 08;;starachowicki;51.075833333333335;21.01888888888889
151210020;Michałów;Kamienna (234);51 00 42;21 06 04;;starachowicki;51.01166666666666;21.101111111111113
151210040;Brody Iłżeckie;Kamienna (234);51 01 17;21 12 10;;starachowicki;51.021388888888886;21.202777777777776
151210050;GUSIN;Wisła (2);51 53 34;21 15 16;;otwocki;51.89277777777778;21.254444444444445
151210060;ROGOŻEK;Radomka (252);51 38 08;21 21 31;;kozienicki;51.635555555555555;21.358611111111113
151210070;Cyganówka;Wilga (2536);51 51 43;21 27 01;;garwoliński;51.86194444444445;21.450277777777778
151210080;Kazanów;Iłżanka (236);51 16 24;21 28 00;;zwoleński;51.27333333333333;21.466666666666665
151210090;Czekarzewice;Kamienna (234);51 01 59;21 40 53;;opatowski;51.033055555555556;21.68138888888889
151210100;OZIEMKÓWKA;Wilga (2536);51 54 59;21 45 06;;garwoliński;51.91638888888889;21.751666666666665
151210110;Mika;Okrzejka (2532);51 40 24;21 45 22;;garwoliński;51.67333333333333;21.75611111111111
151210120;Dęblin;Wisła (2);51 33 46;21 49 35;;rycki;51.562777777777775;21.82638888888889
151210130;BÓR;Wyżnica (2336);51 00 51;21 52 41;;opolski;51.01416666666667;21.878055555555555
151210190;PUŁAWY-AZOTY;Wisła (2);51 26 43;21 56 44;;puławski;51.445277777777775;21.945555555555554
151210220;Kolonia Nadwiślańska;Wisła (2);51 07 29;21 47 26;;opolski;51.124722222222225;21.790555555555557
151220010;Kośmin;Wieprz (24);51 34 23;22 00 05;;rycki;51.573055555555555;22.00138888888889
151220040;Witowice;Kurówka (2392);51 24 33;22 05 10;;puławski;51.409166666666664;22.08611111111111
151220050;MŁYNISKA;Minina (2492);51 32 34;22 23 12;;lubartowski;51.54277777777778;22.386666666666667
151220070;Lublin;Bystrzyca (246);51 13 04;22 32 32;;lublin;51.217777777777776;22.542222222222225
151220080;Tchórzew;Tyśmienica (248);51 40 45;22 33 22;;radzyński;51.67916666666667;22.55611111111111
151220090;Lubartów;Wieprz (24);51 29 53;22 38 37;;lubartowski;51.49805555555556;22.64361111111111
151220100;Sobianowice;Bystrzyca (246);51 18 06;22 41 17;;lubelski;51.30166666666666;22.688055555555557
151220110;Siemień;Tyśmienica (248);51 38 35;22 46 42;;parczewski;51.643055555555556;22.778333333333332
151220120;PARCZEW;Piwonia (2482);51 38 51;22 54 29;;parczewski;51.6475;22.908055555555553
151220130;BISKUPICE;Giełczewka (244);51 09 18;22 56 43;;świdnicki;51.155;22.94527777777778
151220150;Zemborzyce;Bystrzyca (246);51 09 20;22 29 31;;lublin;51.15555555555555;22.491944444444446
151230010;Trawniki;Wieprz (24);51 08 19;23 00 04;;świdnicki;51.13861111111111;23.00111111111111
151230020;Rossosz;Muława (26714484);51 51 28;23 07 55;;bialski;51.85777777777778;23.131944444444446
151230030;Okuninka;Włodawka (2671436);51 31 18;23 31 22;;włodawski;51.52166666666667;23.522777777777776
151230040;WŁODAWA;Bug (26714);51 33 05;23 33 59;;włodawski;51.55138888888889;23.56638888888889
151230050;RUDA-OPALIN;Uherka (2671434);51 15 24;23 35 05;;chełmski;51.25666666666667;23.584722222222222
151230060;Dorohusk;Bug (26714);51 11 06;23 48 28;;chełmski;51.184999999999995;23.80777777777778
152140010;Bielinek;Odra (1);52 55 45;14 09 15;;gryfiński;52.92916666666667;14.154166666666667
152140020;Gozdowice;Odra (1);52 45 51;14 19 04;;gryfiński;52.76416666666667;14.317777777777778
152140050;Słubice;Odra (1);52 20 53;14 33 20;;słubicki;52.34805555555556;14.555555555555557
152140060;Kostrzyn nad Odrą;Odra (1);52 35 57;14 36 38;;gorzowski;52.59916666666667;14.610555555555555
152140070;Kostrzyn nad Odrą;Warta (18);52 34 55;14 39 44;;gorzowski;52.581944444444446;14.662222222222223
152140080;Maczków;Ilanka (178);52 16 30;14 44 40;;słubicki;52.275;14.744444444444444
152140090;Biała Góra;Odra (1);52 05 36;14 43 38;;słubicki;52.093333333333334;14.727222222222222
152140100;Dolsk;Myśla (1912);52 48 10;14 50 35;;myśliborski;52.80277777777778;14.843055555555557
152140110;SĄDÓW;Pliszka (176);52 13 10;14 50 51;;słubicki;52.21944444444445;14.8475
152140120;Myślibórz;Myśla (1912);52 55 17;14 51 44;;myśliborski;52.921388888888885;14.862222222222222
152140130;Połęcko;Odra (1);52 03 09;14 53 32;;krośnieński;52.052499999999995;14.892222222222221
152150010;Świerkocin;Warta (18);52 39 02;14 59 58;;gorzowski;52.650555555555556;14.999444444444444
152150020;Stary Raduszec;Bóbr (16);52 02 11;15 04 43;;krośnieński;52.03638888888889;15.07861111111111
152150040;Gorzów Wielkopolski;Warta (18);52 43 48;15 15 11;;gorzów wielkopolski;52.730000000000004;15.253055555555555
152150050;Nietków;Odra (1);52 02 47;15 20 51;;zielonogórski;52.046388888888885;15.3475
152150080;Santok;Warta (18);52 44 01;15 23 48;;gorzowski;52.73361111111111;15.396666666666667
152150090;Santok;Noteć (188);52 44 21;15 25 04;;gorzowski;52.73916666666667;15.417777777777777
152150100;Bledzew;Obra (1878);52 31 03;15 25 16;;międzyrzecki;52.5175;15.421111111111111
152150110;Skwierzyna;Warta (18);52 36 07;15 30 01;;międzyrzecki;52.60194444444445;15.500277777777777
152150130;Cigacice;Odra (1);52 01 59;15 36 27;;zielonogórski;52.033055555555556;15.6075
152150140;Gościmiec;Noteć (188);52 46 32;15 38 18;;strzelecko-drezdenecki;52.775555555555556;15.638333333333334
152150150;Ługi;Jez. Żabie (Mierzęcka Struga) (18888);52 56 40;15 41 36;;strzelecko-drezdenecki;52.94444444444444;15.693333333333333
152150180;Mierzęcin;Mierzęcka Struga (18888);52 57 21;15 49 46;;strzelecko-drezdenecki;52.95583333333334;15.829444444444444
152150190;Nowe Drezdenko;Noteć (188);52 51 03;15 50 15;;strzelecko-drezdenecki;52.850833333333334;15.8375
152150200;Międzychód;Warta (18);52 36 15;15 53 10;;międzychodzki;52.60416666666667;15.886111111111111
152150220;Zbąszyń;Obra (1878);52 15 01;15 55 23;;nowotomyski;52.250277777777775;15.923055555555555
152150230;Chełst;Miała (18892);52 49 45;15 56 57;;czarnkowsko-trzcianecki;52.82916666666667;15.949166666666667
152150240;Drawiny;Drawa (1888);52 53 08;15 58 40;;czarnkowsko-trzcianecki;52.885555555555555;15.977777777777778
152160010;Krzyż;Noteć (188);52 51 42;16 00 06;;czarnkowsko-trzcianecki;52.861666666666665;16.001666666666665
152160050;Wronki;Warta (18);52 42 42;16 22 48;;szamotulski;52.711666666666666;16.38
152160060;Konojad;Mogilnica (18568);52 09 05;16 31 55;;grodziski;52.15138888888889;16.531944444444445
152160070;Czarnków;Noteć (188);52 54 30;16 33 15;;czarnkowsko-trzcianecki;52.90833333333333;16.554166666666667
152160080;Szamotuły;Sama (1872);52 36 44;16 34 53;;szamotulski;52.61222222222222;16.58138888888889
152160090;Kościan;Kanał Mosiński (1856);52 05 24;16 38 39;;kościański;52.09;16.644166666666667
152160100;Oborniki;Warta (18);52 38 37;16 48 49;;obornicki;52.64361111111111;16.81361111111111
152160110;Kowanówko;Wełna (186);52 40 07;16 50 12;;obornicki;52.66861111111111;16.836666666666666
152160130;Mosina;Kanał Mosiński (1856);52 14 54;16 51 23;;poznański;52.248333333333335;16.85638888888889
152160140;Poznań-Most Rocha;Warta (18);52 24 08;16 56 43;;poznań;52.40222222222222;16.94527777777778
152160150;Głuszyna;Kopel (18574);52 19 01;16 57 12;;poznań;52.316944444444445;16.953333333333333
